range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,km#max,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,ms,,km,0.0,0.001239432917370738,0.0010889278842969054,0.0010889278842969054,0.0,5000.0,0.0,0.0,0.001239432917370738
1,km#max,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,ms,2.0,km,1.0,0.002456723285187225,0.0020990691655621155,0.0020990691655621155,0.0,5000.0,0.0,0.0,0.002456723285187225
1,km#max,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,ms,,km,0.0,0.0012393949962012413,0.0010878786445853304,0.0010878786445853304,0.0,5000.0,0.0,0.0,0.0012393949962012413
1,km#max,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,ms,2.0,km,1.0,0.002459303737944298,0.002102677474970151,0.002102677474970151,0.0,5000.0,0.0,0.0,0.002459303737944298
1,km#max,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,ms,,km,0.0,0.0012349534683659615,0.001085564333337213,0.001085564333337213,0.0,5000.0,0.0,0.0,0.0012349534683659615
1,km#max,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,ms,2.0,km,1.0,0.0024585920347258263,0.002117189132792822,0.002117189132792822,0.0,5000.0,0.0,0.0,0.0024585920347258263
1,km#max,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,ms,,km,0.0,0.0012469759458959401,0.0010931436315804169,0.0010931436315804169,0.0,5000.0,0.0,0.0,0.0012469759458959401
1,km#max,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,ms,2.0,km,1.0,0.0024628648554473067,0.0021091420255603273,0.0021091420255603273,0.0,5000.0,0.0,0.0,0.0024628648554473067
1,km#max,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,,0.5,-1,sr,,km,0.0,0.13404472022618635,0.003887569551908971,0.003887569551908971,597.0,5000.0,0.0,249.0,0.014644720226186368
1,km#max,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,,0.5,-1,sr,2.0,km,1.0,0.1752969361945913,0.004657146873181874,0.004657146873181874,793.3333333333334,5000.0,0.0,158.0,0.016630269527924624
1,km#mean,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,kp,,km,0.0,0.5800595889945598,0.001476296704260422,0.001476296704260422,2897.0,5000.0,0.0,340.0,0.0006595889945597898
1,km#mean,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,kp,2.0,km,1.0,0.5704067081814749,0.0014813758222562657,0.0014813758222562657,2848.6666666666665,5000.0,0.0,78.66666666666667,0.0006733748481415249
1,km#mean,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,kp,,km,0.0,0.006103302674215612,0.0029458207612814624,0.0029458207612814624,15.0,5000.0,0.0,778.0,0.0031033026742156118
1,km#mean,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,kp,2.0,km,1.0,0.006167111409491153,0.0029703120552206277,0.0029703120552206277,15.0,5000.0,0.0,157.33333333333334,0.003167111409491153
1,km#mean,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,kp,,km,0.0,0.003395959632245021,0.0031366793181370465,0.0031366793181370465,0.0,5000.0,0.0,766.0,0.003395959632245021
1,km#mean,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,kp,2.0,km,1.0,0.0034247923760298356,0.0031792172136317037,0.0031792172136317037,0.0,5000.0,0.0,159.0,0.0034247923760298356
