info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,vac,5,email,"zipf#2,5,1,2",0.5,0.75,vac,adm,1,1.0,0.006228075448391779,0.004608666392944519,0.004608666392944519,0.0,1005.0,0.0,0.0,0.006228075448391779
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#max,adm,1,1.0,0.011579392777877956,0.01063654322644096,0.01063654322644096,0.0,1005.0,0.0,0.0,0.011579392777877956
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#mean,adm,1,1.0,0.010452723353146606,0.009691528763620528,0.009691528763620528,0.0,1005.0,0.0,0.0,0.010452723353146606
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#min,adm,1,1.0,0.010425390224900124,0.009675413408767902,0.009675413408767902,0.0,1005.0,0.0,0.0,0.010425390224900124
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#max,adm,1,1.0,0.007883774682616295,0.006992009361696197,0.006992009361696197,0.0,1005.0,0.0,0.0,0.007883774682616295
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#mean,adm,1,1.0,0.011558436200895542,0.010572280035643776,0.010572280035643776,0.0,1005.0,0.0,0.0,0.011558436200895542
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#min,adm,1,1.0,0.01187129974387715,0.010574998022075809,0.010574998022075809,0.0,1005.0,0.0,0.0,0.01187129974387715
"0.50,0.50",anony,2,2.0,zipf,ms#1.00,-1,n,0.5,ms,vac,5,email,"zipf#2,5,1,2",0.5,1.0,vac,adm,1,1.0,0.006228075448391779,0.004608666392944519,0.004608666392944519,0.0,1005.0,0.0,0.0,0.006228075448391779
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,hdbscan,5,email,"zipf#2,5,1,2",0.5,,hdbscan#max,adm,1,1.0,0.117458584829937,0.022558205064585186,0.022558205064585186,0.0,1005.0,0.0,37.333333333333336,0.117458584829937
"0.50,0.50",anony,2,2.0,zipf,sr,-1,n,0.5,sr,hdbscan,5,email,"zipf#2,5,1,2",0.5,,hdbscan#mean,adm,1,1.0,0.2144986274502874,0.008124885189136125,0.008124885189136125,125.33333333333333,1005.0,0.0,33.0,0.08978884303901045
